genes	logFC	logCPM	LR	PValue	FDR
Bra039670	-0.0911639328945477	3.41369604278251	0.253640690538234	0.614523141894461	0.7469829182254
Bra018387	0.259951052966178	-0.0306510417227856	0.253529801170259	0.614600529721035	0.747043060539467
Bra010395	0.197483171480936	1.65788645378586	0.253485999616046	0.614631103934742	0.747043060539467
Bra014678	0.0779074824639469	7.6596294054804	0.253471861057847	0.614640973590528	0.747043060539467
Bra003202	0.233677757246141	2.56238624444536	0.253384898962182	0.614701686517062	0.74708915727601
Bra026017	0.0717380537749386	4.80390815375603	0.253226292868831	0.614812451615272	0.747123123478503
Bra013794	-0.233366383073048	4.3015463735668	0.253208726797325	0.614824721835618	0.747123123478503
Bra002124	-0.271591729449746	2.67287361138181	0.253192744861593	0.614835885971734	0.747123123478503
Bra019342	0.104349948458237	3.63000993219655	0.253137441469491	0.614874521408224	0.747123123478503
Bra026358	-0.108393990840023	5.14975198632407	0.253120982749046	0.614886020636381	0.747123123478503
Bra002099	0.0860630872149824	4.6215866829739	0.253117920694876	0.614888160056049	0.747123123478503
Bra022516	0.144557728729021	3.82739663506647	0.25311651244516	0.614889143988286	0.747123123478503
Bra034152	-0.20550949087965	2.41541282409292	0.252571751011232	0.615270021779831	0.747558206562732
Bra010037	-0.0700699006341448	5.0457491882017	0.252336228115773	0.615434850317333	0.747730765484118
Bra020220	-0.249218387585703	5.34044533202903	0.252238303046155	0.615503410633036	0.747775233339873
Bra006862	0.274312033697422	0.339790029158368	0.252218803838375	0.615517064610256	0.747775233339873
Bra016989	0.147835017643329	7.1693866162172	0.252119401104267	0.615586679900333	0.747832097294906
Bra030183	0.0815401006175528	6.36192886090106	0.252061816877266	0.615627016055042	0.747853389232926
Bra039688	-0.0698719497509644	7.47089169859532	0.252012008652862	0.615661909988665	0.747868068719142
Bra002956	0.384697336380345	1.34242398267868	0.251973199527356	0.61568910132345	0.747873390822908
Bra031484	-0.0690338825295604	5.24011709120446	0.251925074508712	0.615722823413179	0.747886645102356
Bra029658	-0.0964222160925602	3.61938111762758	0.251813848181385	0.615800777188101	0.747953622348161
Bra026356	-0.606941011261877	3.97996629071164	0.251773295417806	0.615829204246605	0.747957170278092
Bra031294	0.0673889096839755	6.43834409239561	0.251744596699211	0.615849323476603	0.747957170278092
Bra009079	0.108488147523991	3.60146063445211	0.251627642592709	0.615931328973727	0.748029058156891
Bra017851	0.246649096869544	3.47796158108646	0.251515982268515	0.616009644854972	0.74809645995481
Bra017294	-0.355021925857817	2.72481748586179	0.251378327272278	0.616106222726716	0.748186033724984
Bra102601	0.150098396711267	4.38296430759479	0.25123237655086	0.616208656974986	0.748239981794629
Bra020838	0.0588642628838362	6.11611723626037	0.251224788142054	0.616213983851973	0.748239981794629
Bra010583	-0.107324876783616	2.69405098936536	0.251217484563917	0.616219110879879	0.748239981794629
Bra025208	0.161825971321636	3.22157678769704	0.251131040231627	0.616279800892241	0.748285961998811
Bra033638	-0.0661886508558298	6.42695169022015	0.251019644566924	0.616358027772134	0.74834427793919
Bra000663	0.249498928578384	7.65947748534897	0.250997646870999	0.616373478078135	0.74834427793919
Bra002409	0.239116806775386	1.52183905564103	0.25082041327893	0.616497990810635	0.748467734011267
Bra003969	-0.173319699559264	3.94400963981199	0.25077347583715	0.616530975203678	0.748480063835413
Bra018761	-0.291771074453472	0.772325858880854	0.250734799852111	0.616558156916915	0.748485348446198
Bra015404	-0.178587085164072	4.60106040668296	0.250534241943072	0.616699152280127	0.748628794320728
Bra032012	0.0828766794258585	4.8553940307419	0.250422763941813	0.616777553586125	0.748696247664875
Bra002880	0.0657182275040945	7.09415473220007	0.250257543500286	0.616893791530305	0.748809623594243
Bra016143	0.277470182178455	1.83975140989641	0.250148316812542	0.6169706623941	0.748875207608298
Bra033270	-0.178339756601136	1.00554658612102	0.250087072422879	0.617013773761896	0.748899811214278
Bra032646	-0.0860828204354599	4.29283523249467	0.249980407145081	0.617088873719602	0.748963237678411
Bra009905	0.458809987181504	-0.0167574055542101	0.249879340680984	0.617160050194074	0.74902189767585
Bra040300	0.211629407538613	0.751377691942612	0.249765857722522	0.617239992481158	0.749060713842493
Bra007594	-0.649966644039594	-0.406442657676955	0.249755623349639	0.617247203130227	0.749060713842493
Bra035027	0.10045140065622	7.12032816722436	0.249736649379948	0.617260571769192	0.749060713842493
Bra001828	-0.091118517941831	3.91244385730648	0.249358993137712	0.617526792124112	0.749356043279664
Bra022238	0.0611611501905364	5.05138042495278	0.249282346464394	0.617580853231718	0.74938365231959
Bra003043	-0.187393248846482	0.583420183334411	0.24926192854349	0.617595256331096	0.74938365231959
Bra029983	0.274534863909282	0.644204909407376	0.249177368180398	0.617654914292427	0.749416292144193
Bra016680	0.102786198636016	5.4231022357626	0.249152706553772	0.617672315634029	0.749416292144193
Bra038290	0.0715118132065621	5.77377578681735	0.249091398175395	0.617715579730964	0.749416292144193
Bra015574	0.159509176928807	6.13807039237252	0.249087935206958	0.617718023676984	0.749416292144193
Bra100673	0.197851157523776	0.507206109802736	0.249058459728317	0.617738826480952	0.749416292144193
Bra024276	-0.063726848325383	5.30198725255145	0.249014914899028	0.617769561774383	0.749416292144193
Bra001054	0.274784384597131	0.569561003647731	0.24899707335949	0.617782155856688	0.749416292144193
Bra005037	0.218285263144293	6.11401487652306	0.248961143089176	0.617807520220321	0.749419333510809
Bra040892	-0.0603576089503484	5.7088806205325	0.248543847526712	0.618102270507256	0.749749135890544
Bra003362	-0.0921662398148916	4.70939019520513	0.248237380480084	0.61831893559968	0.749984201158178
Bra034714	0.285403262972996	1.3501256574962	0.248176608467787	0.618361919835671	0.749984482536963
Bra037413	-0.186346421298827	4.78250117338517	0.248172372104563	0.618364916473655	0.749984482536963
Bra101412	-0.554456949605862	2.25863788892721	0.248067932490585	0.618438803076762	0.749995810098938
Bra035594	0.103564800388526	5.88197153364381	0.248036335273831	0.618461160594052	0.749995810098938
Bra035124	-0.0762312834247944	7.48456468724286	0.248033153772781	0.618463411854887	0.749995810098938
Bra031995_Bra031996	0.0782636260830978	2.9542184637208	0.248029842082484	0.618465755258029	0.749995810098938
Bra024642	0.166896530091542	3.99723852824168	0.247939475765861	0.618529707394341	0.750045621582153
Bra021254	-0.071875632729435	4.99933330849193	0.247693457655643	0.618703887848059	0.750220677174459
Bra019624	-0.197862558840147	0.863055677510975	0.24766155968851	0.618726479464155	0.750220677174459
Bra000053	0.206980861832736	1.13227162777521	0.247617928764086	0.618757383843095	0.750220677174459
Bra025554	-0.0930109780495086	5.66306411635921	0.247606337505097	0.618765594661046	0.750220677174459
Bra100921	0.394463977785878	-0.292502463564743	0.247416581639207	0.618900044782591	0.75029650904044
Bra022369	-0.214017046217079	6.04815175468296	0.247404830259939	0.618908373250421	0.75029650904044
Bra026505	-0.0772040009018197	3.06314948665834	0.247403365600309	0.618909411305064	0.75029650904044
Bra035459	-0.0856047459301927	6.52599704621091	0.247388884199431	0.618919674978124	0.75029650904044
Bra027109	-0.149147760915997	3.07753103394359	0.247305654090695	0.618978671470656	0.750340285484837
Bra019108	0.0701497881876672	3.52152943805462	0.247060517908476	0.61915250478059	0.750523261396082
Bra037337	0.146204035410341	5.24602100404493	0.246832533688206	0.61931427167619	0.75069159767264
Bra012279	-0.0693227275567937	6.11731398809766	0.246739948370582	0.619379992464796	0.750743505099566
Bra010488	0.190088521543568	0.0141977516870872	0.246650968845522	0.619443168204509	0.750792323977718
